    Dens   Wtype     ROC HalfROC     Seq  ROCpin  SiCell  TrLink  TrCell      iu      iv       t
      LD       0       1       1       6      42      91       2       1       7      10       1
      LD       0       1       1       7      43     122       2       1       9      11       1
      LD       0       1       1       8      44      -1      -1      -1      -1      -1      -1
      LD       0       1       1       9      45     120       2       2       9       9       1
      LD       0       1       1      10      46     104       2       2       8       8       1
      LD       0       1       1      11      47      89       2       2       7       8       1
      LD       0       1       1      12      48     105       2       2       8       9       1
      LD       0       1       1      13      49      76       2       3       6       9       1
      LD       0       1       1      14      50      75       2       3       6       8       1
      LD       0       1       1      15      51      90       2       3       7       9       1
      LD       0       1       1      16      52      60       2       3       5       8       1
      LD       0       1       1      17      53      -1      -1      -1      -1      -1      -1
      LD       0       1       1      18  CALIB1      62      -1      -1       5       9       0
      LD       0       1       1      19      54      -1      -1      -1      -1      -1      -1
      LD       0       1       1      20      55      61       3       0       5       9       1
      LD       0       1       1      21      56      48       3       0       4       8       1
      LD       0       1       1      22      57      49       3       0       4       9       1
      LD       0       1       1      23      58      37       3       0       3       8       1
      LD       0       1       1      24      59      92       3       1       7      11       1
      LD       0       1       1      25      60      78       3       1       6      11       1
      LD       0       1       1      26      61      77       3       1       6      10       1
      LD       0       1       1      27      62      63       3       1       5      10       1
      LD       0       1       1      28      63      -1      -1      -1      -1      -1      -1
      LD       0       1       1      29      64      38       3       2       3       9       1
      LD       0       1       1      30      65      27       3       2       2       8       1
      LD       0       1       1      31      66      28       3       2       2       9       1
      LD       0       1       1      32      67      18       3       2       1       8       1
      LD       0       1       1      33      68      39       3       3       3      10       1
      LD       0       1       1      34      69      64       3       3       5      11       1
      LD       0       1       1      35      70      50       3       3       4      10       1
      LD       0       1       1      36      71      51       3       3       4      11       1
      LD       0       2       0       0       0      99       0       0       8       3       1
      LD       0       2       0       1       1      98       0       0       8       2       1
      LD       0       2       0       2       2     115       0       0       9       4       1
      LD       0       2       0       3       3     114       0       0       9       3       1
      LD       0       2       0       4       4      96       0       1       8       0       1
      LD       0       2       0       5       5      97       0       1       8       1       1
      LD       0       2       0       6       6     113       0       1       9       2       1
      LD       0       2       0       7       7     112       0       1       9       1       1
      LD       0       2       0       8       8      -1      -1      -1      -1      -1      -1
      LD       0       2       0       9       9     127       0       2      10       2       1
      LD       0       2       0      10      10     128       0       2      10       3       1
      LD       0       2       0      11      11     141       0       2      11       3       1
      LD       0       2       0      12      12     142       0       2      11       4       1
      LD       0       2       0      13      13     130       0       3      10       5       1
      LD       0       2       0      14      14     145       0       3      11       6       1
      LD       0       2       0      15      15     144       0       3      11       5       1
      LD       0       2       0      16      16     129       0       3      10       4       1
      LD       0       2       0      17      17      -1      -1      -1      -1      -1      -1
      LD       0       2       0      18  CALIB0     143      -1      -1      11       4       0
      LD       0       2       0      19      18      -1      -1      -1      -1      -1      -1
      LD       0       2       0      20      19     157       1       0      12       5       1
      LD       0       2       0      21      20     156       1       0      12       4       1
      LD       0       2       0      22      21     169       1       0      13       5       1
      LD       0       2       0      23      22     170       1       0      13       6       1
      LD       0       2       0      24      23     180       1       1      14       6       1
      LD       0       2       0      25      24     190       1       1      15       7       1
      LD       0       2       0      26      25     181       1       1      14       7       1
      LD       0       2       0      27      26     191       1       1      15       8       1
      LD       0       2       0      28      27      -1      -1      -1      -1      -1      -1
      LD       0       2       0      29      28     171       1       2      13       7       1
      LD       0       2       0      30      29     172       1       2      13       8       1
      LD       0       2       0      31      30     158       1       2      12       6       1
      LD       0       2       0      32      31     159       1       2      12       7       1
      LD       0       2       0      33      32     192       1       3      15       9       1
      LD       0       2       0      34      33     193       1       3      15      10       1
      LD       0       2       0      35      34     182       1       3      14       8       1
      LD       0       2       0      36      35     183       1       3      14       9       1
      LD       0       2       1       0      36     100       2       0       8       4       1
      LD       0       2       1       1      37     101       2       0       8       5       1
      LD       0       2       1       2      38     116       2       0       9       5       1
      LD       0       2       1       3      39     117       2       0       9       6       1
      LD       0       2       1       4      40     146       2       1      11       7       1
      LD       0       2       1       5      41     132       2       1      10       7       1
      LD       0       2       1       6      42     147       2       1      11       8       1
      LD       0       2       1       7      43     131       2       1      10       6       1
      LD       0       2       1       8      44      -1      -1      -1      -1      -1      -1
      LD       0       2       1       9      45     102       2       2       8       6       1
      LD       0       2       1      10      46     103       2       2       8       7       1
      LD       0       2       1      11      47     119       2       2       9       8       1
      LD       0       2       1      12      48     118       2       2       9       7       1
      LD       0       2       1      13      49     148       2       3      11       9       1
      LD       0       2       1      14      50     134       2       3      10       9       1
      LD       0       2       1      15      51     133       2       3      10       8       1
      LD       0       2       1      16      52     149       2       3      11      10       1
      LD       0       2       1      17      53      -1      -1      -1      -1      -1      -1
      LD       0       2       1      18  CALIB1     163      -1      -1      12      10       0
      LD       0       2       1      19      54      -1      -1      -1      -1      -1      -1
      LD       0       2       1      20      55     162       3       0      12      10       1
      LD       0       2       1      21      56     164       3       0      12      11       1
      LD       0       2       1      22      57     175       3       0      13      11       1
      LD       0       2       1      23      58     176       3       0      13      12       1
      LD       0       2       1      24      59     160       3       1      12       8       1
      LD       0       2       1      25      60     173       3       1      13       9       1
      LD       0       2       1      26      61     161       3       1      12       9       1
      LD       0       2       1      27      62     174       3       1      13      10       1
      LD       0       2       1      28      63      -1      -1      -1      -1      -1      -1
      LD       0       2       1      29      64     186       3       2      14      12       1
      LD       0       2       1      30      65     187       3       2      14      13       1
      LD       0       2       1      31      66     196       3       2      15      13       1
      LD       0       2       1      32      67     197       3       2      15      14       1
      LD       0       2       1      33      68     195       3       3      15      12       1
      LD       0       2       1      34      69     184       3       3      14      10       1
      LD       0       2       1      35      70     185       3       3      14      11       1
      LD       0       2       1      36      71     194       3       3      15      11       1
      HD       0       0       0       0       0      76       0       0       5       3       1
      HD       0       0       0       1       1      60       0       0       4       3       1
      HD       0       0       0       2       2      78       0       0       5       5       1
      HD       0       0       0       3       3      77       0       0       5       4       1
      HD       0       0       0       4       4      46       0       0       3       4       1
      HD       0       0       0       5       5      62       0       0       4       5       1
      HD       0       0       0       6       6      47       0       0       3       5       1
      HD       0       0       0       7       7      45       0       0       3       3       1
      HD       0       0       0       8       8      61       0       0       4       4       1
      HD       0       0       0       9       9      18       0       2       1       5       1
      HD       0       0       0      10      10      31       0       2       2       4       1
      HD       0       0       0      11      11      32       0       2       2       5       1
      HD       0       0       0      12      12       6       0       2       0       5       1
      HD       0       0       0      13      13      16       0       2       1       3       1
