    Dens   Wtype     ROC HalfROC     Seq  ROCpin  SiCell  TrLink  TrCell      iu      iv       t
      HD       0       4       0       3       3     212       0       0      11      18       1
      HD       0       4       0       4       4     260       0       0      13      20       1
      HD       0       4       0       5       5     237       0       0      12      20       1
      HD       0       4       0       6       6     284       0       0      14      20       1
      HD       0       4       0       7       7     259       0       0      13      19       1
      HD       0       4       0       8       8     236       0       0      12      19       1
      HD       0       4       0       9       9     328       0       2      16      22       1
      HD       0       4       0      10      10     285       0       2      14      21       1
      HD       0       4       0      11      11     307       0       2      15      21       1
      HD       0       4       0      12      12     348       0       2      17      23       1
      HD       0       4       0      13      13     286       0       2      14      22       1
      HD       0       4       0      14      14     261       0       2      13      21       1
      HD       0       4       0      15      15     308       0       2      15      22       1
      HD       0       4       0      16      16     329       0       2      16      23       1
      HD       0       4       0      17      17     309       0       2      15      23       1
      HD       0       4       0      18  CALIB0     262      -1      -1      13      21       0
      HD       0       4       0      19      18     287       0       1      14      23       1
      HD       0       4       0      20      19     240       0       1      12      23       1
      HD       0       4       0      21      20     264       0       1      13      23       1
      HD       0       4       0      22      21     263       0       1      13      22       1
      HD       0       4       0      23      22     239       0       1      12      22       1
      HD       0       4       0      24      23     215       0       1      11      21       1
      HD       0       4       0      25      24     216       0       1      11      22       1
      HD       0       4       0      26      25     238       0       1      12      21       1
      HD       0       4       0      27      26     192       0       1      10      21       1
      HD       0       4       0      28      27     169       0       3       9      19       1
      HD       0       4       0      29      28     190       0       3      10      19       1
      HD       0       4       0      30      29     214       0       3      11      20       1
      HD       0       4       0      31      30     191       0       3      10      20       1
      HD       0       4       0      32      31     168       0       3       9      18       1
      HD       0       4       0      33      32     147       0       3       8      19       1
      HD       0       4       0      34      33     146       0       3       8      18       1
      HD       0       4       0      35      34     170       0       3       9      20       1
      HD       0       4       0      36      35     127       0       3       7      18       1
      HD       0       4       1       0      36     188       2       0      10      17       1
      HD       0       4       1       1      37     187       2       0      10      16       1
      HD       0       4       1       2      38     211       2       0      11      17       1
      HD       0       4       1       3      39     167       2       0       9      17       1
      HD       0       4       1       4      40     166       2       0       9      16       1
      HD       0       4       1       5      41     144       2       0       8      16       1
      HD       0       4       1       6      42     143       2       0       8      15       1
      HD       0       4       1       7      43     124       2       0       7      15       1
      HD       0       4       1       8      44     165       2       0       9      15       1
      HD       0       4       1       9      45     104       2       2       6      13       1
      HD       0       4       1      10      46     142       2       2       8      14       1
      HD       0       4       1      11      47     123       2       2       7      14       1
      HD       0       4       1      12      48     122       2       2       7      13       1
      HD       0       4       1      13      49     105       2       2       6      14       1
      HD       0       4       1      14      50     103       2       2       6      12       1
      HD       0       4       1      15      51      85       2       2       5      12       1
      HD       0       4       1      16      52      86       2       2       5      13       1
      HD       0       4       1      17      53      69       2       2       4      12       1
      HD       0       4       1      18  CALIB1      88      -1      -1       5      14       0
      HD       0       4       1      19      54      54       2       1       3      12       1
      HD       0       4       1      20      55      41       2       1       2      13       1
      HD       0       4       1      21      56      25       2       1       1      12       1
      HD       0       4       1      22      57      40       2       1       2      12       1
      HD       0       4       1      23      58      70       2       1       4      13       1
      HD       0       4       1      24      59      55       2       1       3      13       1
      HD       0       4       1      25      60      87       2       1       5      14       1
      HD       0       4       1      26      61      71       2       1       4      14       1
      HD       0       4       1      27      62      56       2       1       3      14       1
      HD       0       4       1      28      63     145       2       3       8      17       1
      HD       0       4       1      29      64     106       2       3       6      15       1
      HD       0       4       1      30      65     125       2       3       7      16       1
      HD       0       4       1      31      66     107       2       3       6      16       1
      HD       0       4       1      32      67     126       2       3       7      17       1
      HD       0       4       1      33      68      90       2       3       5      16       1
      HD       0       4       1      34      69     108       2       3       6      17       1
      HD       0       4       1      35      70      89       2       3       5      15       1
      HD       0       4       1      36      71      72       2       3       4      15       1
      HD       0       5       0       0       0     256       0       0      13      16       1
      HD       0       5       0       1       1     232       0       0      12      15       1
      HD       0       5       0       2       2     281       0       0      14      17       1
      HD       0       5       0       3       3     257       0       0      13      17       1
      HD       0       5       0       4       4     233       0       0      12      16       1
      HD       0       5       0       5       5     209       0       0      11      15       1
      HD       0       5       0       6       6     186       0       0      10      15       1
      HD       0       5       0       7       7     234       0       0      12      17       1
      HD       0       5       0       8       8     210       0       0      11      16       1
      HD       0       5       0       9       9     141       0       2       8      13       1
      HD       0       5       0      10      10     185       0       2      10      14       1
      HD       0       5       0      11      11     164       0       2       9      14       1
      HD       0       5       0      12      12     121       0       2       7      12       1
      HD       0       5       0      13      13     207       0       2      11      14       1
      HD       0       5       0      14      14     163       0       2       9      13       1
      HD       0       5       0      15      15     140       0       2       8      12       1
      HD       0       5       0      16      16     184       0       2      10      13       1
      HD       0       5       0      17      17     162       0       2       9      12       1
      HD       0       5       0      18  CALIB0     208      -1      -1      11      14       0
      HD       0       5       0      19      18     183       0       1      10      12       1
      HD       0       5       0      20      19     231       0       1      12      14       1
      HD       0       5       0      21      20     205       0       1      11      12       1
      HD       0       5       0      22      21     206       0       1      11      13       1
      HD       0       5       0      23      22     229       0       1      12      12       1
      HD       0       5       0      24      23     253       0       1      13      13       1
      HD       0       5       0      25      24     230       0       1      12      13       1
      HD       0       5       0      26      25     254       0       1      13      14       1
      HD       0       5       0      27      26     278       0       1      14      14       1
      HD       0       5       0      28      27     323       0       3      16      17       1
      HD       0       5       0      29      28     301       0       3      15      15       1
      HD       0       5       0      30      29     255       0       3      13      15       1
      HD       0       5       0      31      30     279       0       3      14      15       1
      HD       0       5       0      32      31     302       0       3      15      16       1
      HD       0       5       0      33      32     303       0       3      15      17       1
      HD       0       5       0      34      33     280       0       3      14      16       1
      HD       0       5       0      35      34     322       0       3      16      16       1
      HD       0       5       0      36      35     342       0       3      17      17       1
      HD       0       5       1       0      36     283       2       0      14      19       1
      HD       0       5       1       1      37     306       2       0      15      20       1
      HD       0       5       1       2      38     345       2       0      17      20       1
      HD       0       5       1       3      39     258       2       0      13      18       1
      HD       0       5       1       4      40     282       2       0      14      18       1
      HD       0       5       1       5      41     304       2       0      15      18       1
      HD       0       5       1       6      42     326       2       0      16      20       1
      HD       0       5       1       7      43     325       2       0      16      19       1
      HD       0       5       1       8      44     305       2       0      15      19       1
      HD       0       5       1       9      45     347       2       2      17      22       1
      HD       0       5       1      10      46     327       2       2      16      21       1
      HD       0       5       1      11      47     346       2       2      17      21       1
      HD       0       5       1      12      48     366       2       2      18      23       1
      HD       0       5       1      13      49     384       2       2      19      23       1
      HD       0       5       1      14      50     365       2       2      18      22       1
      HD       0       5       1      15      51     364       2       2      18      21       1
      HD       0       5       1      16      52     383       2       2      19      22       1
      HD       0       5       1      17      53     401       2       2      20      23       1
      HD       0       5       1      18  CALIB1     382      -1      -1      19      21       0
      HD       0       5       1      19      54     381       2       1      19      21       1
      HD       0       5       1      20      55     431       2       1      22      23       1
      HD       0       5       1      21      56     417       2       1      21      23       1
      HD       0       5       1      22      57     400       2       1      20      22       1
      HD       0       5       1      23      58     416       2       1      21      22       1
      HD       0       5       1      24      59     430       2       1      22      22       1
      HD       0       5       1      25      60     399       2       1      20      21       1
      HD       0       5       1      26      61     415       2       1      21      21       1
      HD       0       5       1      27      62     444       2       1      23      23       1
      HD       0       5       1      28      63     363       2       3      18      20       1
      HD       0       5       1      29      64     324       2       3      16      18       1
      HD       0       5       1      30      65     344       2       3      17      19       1
      HD       0       5       1      31      66     380       2       3      19      20       1
      HD       0       5       1      32      67     398       2       3      20      20       1
      HD       0       5       1      33      68     343       2       3      17      18       1
      HD       0       5       1      34      69     379       2       3      19      19       1
      HD       0       5       1      35      70     362       2       3      18      19       1
      HD       0       5       1      36      71     361       2       3      18      18       1
      LD       3       0       0       0       0      85       0       0       7       0       1
      LD       3       0       0       1       1      71       0       0       6       0       1
      LD       3       0       0       2       2      72       0       0       6       1       1
      LD       3       0       0       3       3      86       0       0       7       1       1
      LD       3       0       0       4       4     103       0       1       8       0       1
      LD       3       0       0       5       5     104       0       1       8       1       1
      LD       3       0       0       6       6     119       0       1       9       1       1
      LD       3       0       0       7       7     120       0       1       9       2       1
      LD       3       0       0       8       8      -1      -1      -1      -1      -1      -1
      LD       3       0       0       9       9      73       0       2       6       2       1
      LD       3       0       0      10      10      74       0       2       6       3       1
      LD       3       0       0      11      11      88       0       2       7       3       1
      LD       3       0       0      12      12      87       0       2       7       2       1
      LD       3       0       0      13      13     105       0       3       8       2       1
      LD       3       0       0      14      14     121       0       3       9       3       1
      LD       3       0       0      15      15     122       0       3       9       4       1
      LD       3       0       0      16      16     106       0       3       8       3       1
      LD       3       0       0      17      17      -1      -1      -1      -1      -1      -1
      LD       3       0       0      18  CALIB0      90      -1      -1       7       4       0
      LD       3       0       0      19      18     157      -1      -1      11       9       1
      LD       3       0       0      20      19      75       1       0       6       4       1
      LD       3       0       0      21      20      91       1       0       7       5       1
      LD       3       0       0      22      21      89       1       0       7       4       1
      LD       3       0       0      23      22      76       1       0       6       5       1
      LD       3       0       0      24      23     107       1       1       8       4       1
      LD       3       0       0      25      24     123       1       1       9       5       1
      LD       3       0       0      26      25     124       1       1       9       6       1
      LD       3       0       0      27      26     108       1       1       8       5       1
      LD       3       0       0      28      27     126      -1      -1       9       8       1
      LD       3       0       0      29      28      77       1       2       6       6       1
      LD       3       0       0      30      29      61       1       2       5       6       1
      LD       3       0       0      31      30      93       1       2       7       7       1
      LD       3       0       0      32      31      92       1       2       7       6       1
      LD       3       0       0      33      32     109       1       3       8       6       1
      LD       3       0       0      34      33     110       1       3       8       7       1
      LD       3       0       0      35      34     142       1       3      10       8       1
      LD       3       0       0      36      35     125       1       3       9       7       1
      LD       3       0       1       0      36      57       2       0       5       2       1
      LD       3       0       1       1      37      45       2       0       4       2       1
      LD       3       0       1       2      38      46       2       0       4       3       1
      LD       3       0       1       3      39      58       2       0       5       3       1
      LD       3       0       1       4      40      43       2       1       4       0       1
      LD       3       0       1       5      41      56       2       1       5       1       1
      LD       3       0       1       6      42      55       2       1       5       0       1
      LD       3       0       1       7      43      44       2       1       4       1       1
      LD       3       0       1       8      44      -1      -1      -1      -1      -1      -1
      LD       3       0       1       9      45      20       2       2       2       0       1
      LD       3       0       1      10      46      30       2       2       3       0       1
      LD       3       0       1      11      47      21       2       2       2       1       1
      LD       3       0       1      12      48      31       2       2       3       1       1
      LD       3       0       1      13      49       9       2       3       1       0       1
      LD       3       0       1      14      50       1       2       3       0       0       1
      LD       3       0       1      15      51      10       2       3       1       1       1
      LD       3       0       1      16      52       2       2       3       0       1       1
      LD       3       0       1      17      53      -1      -1      -1      -1      -1      -1
      LD       3       0       1      18  CALIB1      13      -1      -1       1       3       0
      LD       3       0       1      19      54      -1      -1      -1      -1      -1      -1
      LD       3       0       1      20      55      32       3       0       3       2       1
      LD       3       0       1      21      56      33       3       0       3       3       1
      LD       3       0       1      22      57      22       3       0       2       2       1
      LD       3       0       1      23      58      23       3       0       2       3       1
      LD       3       0       1      24      59      11       3       1       1       2       1
      LD       3       0       1      25      60       3       3       1       0       2       1
      LD       3       0       1      26      61       4       3       1       0       3       1
      LD       3       0       1      27      62      12       3       1       1       3       1
      LD       3       0       1      28      63      -1      -1      -1      -1      -1      -1
      LD       3       0       1      29      64      24       3       2       2       4       1
      LD       3       0       1      30      65      14       3       2       1       4       1
      LD       3       0       1      31      66      34       3       2       3       4       1
      LD       3       0       1      32      67      35       3       2       3       5       1
      LD       3       0       1      33      68      47       3       3       4       4       1
      LD       3       0       1      34      69      59       3       3       5       4       1
      LD       3       0       1      35      70      48       3       3       4       5       1
      LD       3       0       1      36      71      60       3       3       5       5       1
      LD       3       1       0       0       0     153       0       0      11       5       1
      LD       3       1       0       1       1     138       0       0      10       4       1
      LD       3       1       0       2       2     154       0       0      11       6       1
      LD       3       1       0       3       3     139       0       0      10       5       1
      LD       3       1       0       4       4     137       0       1      10       3       1
      LD       3       1       0       5       5     151       0       1      11       3       1
      LD       3       1       0       6       6     136       0       1      10       2       1
      LD       3       1       0       7       7     152       0       1      11       4       1
      LD       3       1       0       8       8      -1      -1      -1      -1      -1      -1
      LD       3       1       0       9       9     168       0       2      12       5       1
      LD       3       1       0      10      10     167       0       2      12       4       1
      LD       3       1       0      11      11     180       0       2      13       5       1
      LD       3       1       0      12      12     181       0       2      13       6       1
      LD       3       1       0      13      13     193       0       3      14       6       1
      LD       3       1       0      14      14     203       0       3      15       7       1
      LD       3       1       0      15      15     194       0       3      14       7       1
      LD       3       1       0      16      16     204       0       3      15       8       1
      LD       3       1       0      17      17      -1      -1      -1      -1      -1      -1
      LD       3       1       0      18  CALIB0     169      -1      -1      12       5       0
      LD       3       1       0      19      18     185      -1      -1      13      10       1
      LD       3       1       0      20      19     171       1       0      12       7       1
      LD       3       1       0      21      20     170       1       0      12       6       1
      LD       3       1       0      22      21     182       1       0      13       7       1
      LD       3       1       0      23      22     183       1       0      13       8       1
      LD       3       1       0      24      23     196       1       1      14       9       1
      LD       3       1       0      25      24     195       1       1      14       8       1
      LD       3       1       0      26      25     205       1       1      15       9       1
      LD       3       1       0      27      26     206       1       1      15      10       1
      LD       3       1       0      28      27     207      -1      -1      15      11       1
      LD       3       1       0      29      28     141       1       2      10       7       1
      LD       3       1       0      30      29     140       1       2      10       6       1
      LD       3       1       0      31      30     156       1       2      11       8       1
      LD       3       1       0      32      31     155       1       2      11       7       1
      LD       3       1       0      33      32     197       1       3      14      10       1
      LD       3       1       0      34      33     172       1       3      12       8       1
      LD       3       1       0      35      34     184       1       3      13       9       1
      LD       3       1       0      36      35     173       1       3      12       9       1
      LD       4       0       0       0       0     145       0       0      10      11       1
      LD       4       0       0       1       1     159       0       0      11      10       1
      LD       4       0       0       2       2     144       0       0      10      10       1
      LD       4       0       0       3       3     161       0       0      11      11       1
      LD       4       0       0       4       4     198       0       1      14      11       1
      LD       4       0       0       5       5     187       0       1      13      11       1
      LD       4       0       0       6       6     175       0       1      12      11       1
      LD       4       0       0       7       7     174       0       1      12      10       1
      LD       4       0       0       8       8      -1      -1      -1      -1      -1      -1
      LD       4       0       0       9       9     199       0       2      14      12       1
      LD       4       0       0      10      10     209       0       2      15      12       1
      LD       4       0       0      11      11     210       0       2      15      13       1
      LD       4       0       0      12      12     200       0       2      14      13       1
      LD       4       0       0      13      13     201       0       3      14      14       1
      LD       4       0       0      14      14     212       0       3      15      15       1
      LD       4       0       0      15      15     211       0       3      15      14       1
      LD       4       0       0      16      16     202       0       3      14      15       1
      LD       4       0       0      17      17      -1      -1      -1      -1      -1      -1
      LD       4       0       0      18  CALIB0     160      -1      -1      11      10       0
      LD       4       0       0      19      18     186      -1      -1      13      10       1
      LD       4       0       0      20      19     176       1       0      12      12       1
      LD       4       0       0      21      20     188       1       0      13      12       1
      LD       4       0       0      22      21     189       1       0      13      13       1
      LD       4       0       0      23      22     177       1       0      12      13       1
      LD       4       0       0      24      23     190       1       1      13      14       2
      LD       4       0       0      25      24     192       1       1      13      15       1
      LD       4       0       0      26      25     178       1       1      12      14       1
      LD       4       0       0      27      26     179       1       1      12      15       1
      LD       4       0       0      28      27     208      -1      -1      15      11       1
      LD       4       0       0      29      28     165       1       2      11      14       1
      LD       4       0       0      30      29     148       1       2      10      14       1
      LD       4       0       0      31      30     150       1       2      10      15       1
      LD       4       0       0      32      31     166       1       2      11      15       1
      LD       4       0       0      33      32     163       1       3      11      13       2
      LD       4       0       0      34      33     147       1       3      10      13       1
      LD       4       0       0      35      34     162       1       3      11      12       1
      LD       4       0       0      36      35     146       1       3      10      12       1
      LD       4       0       1       0      36     143       2       0      10       9       1
      LD       4       0       1       1      37     112       2       0       8       9       1
      LD       4       0       1       2      38     128       2       0       9       9       1
      LD       4       0       1       3      39     111       2       0       8       8       1
      LD       4       0       1       4      40      94       2       1       7       7       1
      LD       4       0       1       5      41      62       2       1       5       6       1
      LD       4       0       1       6      42      95       2       1       7       8       1
      LD       4       0       1       7      43      78       2       1       6       7       1
      LD       4       0       1       8      44      -1      -1      -1      -1      -1      -1
      LD       4       0       1       9      45     129       2       2       9      10       1
      LD       4       0       1      10      46     114       2       2       8      11       1
      LD       4       0       1      11      47     113       2       2       8      10       1
      LD       4       0       1      12      48     130       2       2       9      11       1
      LD       4       0       1      13      49      96       2       3       7       9       1
      LD       4       0       1      14      50      79       2       3       6       8       1
      LD       4       0       1      15      51      80       2       3       6       9       1
      LD       4       0       1      16      52      97       2       3       7      10       1
      LD       4       0       1      17      53      -1      -1      -1      -1      -1      -1
      LD       4       0       1      18  CALIB1     149      -1      -1      10      14       0
      LD       4       0       1      19      54      -1      -1      -1      -1      -1      -1
      LD       4       0       1      20      55      98       3       0       7      11       2
      LD       4       0       1      21      56      81       3       0       6      10       1
      LD       4       0       1      22      57     100       3       0       7      12       1
      LD       4       0       1      23      58      82       3       0       6      11       1
      LD       4       0       1      24      59     131       3       1       9      12       2
      LD       4       0       1      25      60     133       3       1       9      13       1
      LD       4       0       1      26      61     116       3       1       8      13       1
      LD       4       0       1      27      62     115       3       1       8      12       1
      LD       4       0       1      28      63      -1      -1      -1      -1      -1      -1
      LD       4       0       1      29      64      83       3       2       6      12       1
      LD       4       0       1      30      65      84       3       2       6      13       1
      LD       4       0       1      31      66     101       3       2       7      13       1
      LD       4       0       1      32      67     102       3       2       7      14       1
      LD       4       0       1      33      68     117       3       3       8      14       1
      LD       4       0       1      34      69     134       3       3       9      14       1
      LD       4       0       1      35      70     135       3       3       9      15       1
      LD       4       0       1      36      71     118       3       3       8      15       1
      LD       4       1       0       0       0      25       0       0       2       5       1
      LD       4       1       0       1       1      37       0       0       3       6       1
      LD       4       1       0       2       2      15       0       0       1       4       1
      LD       4       1       0       3       3      36       0       0       3       5       1
      LD       4       1       0       4       4       5       0       1       0       4       1
      LD       4       1       0       5       5      17       0       1       1       6       1
      LD       4       1       0       6       6       6       0       1       0       5       1
      LD       4       1       0       7       7      16       0       1       1       5       1
      LD       4       1       0       8       8      -1      -1      -1      -1      -1      -1
      LD       4       1       0       9       9      38       0       2       3       7       1
      LD       4       1       0      10      10      26       0       2       2       6       1
      LD       4       1       0      11      11      27       0       2       2       7       1
      LD       4       1       0      12      12      39       0       2       3       8       1
      LD       4       1       0      13      13      50       0       3       4       7       1
      LD       4       1       0      14      14      49       0       3       4       6       1
      LD       4       1       0      15      15      64       0       3       5       8       1
      LD       4       1       0      16      16      63       0       3       5       7       1
      LD       4       1       0      17      17      -1      -1      -1      -1      -1      -1
      LD       4       1       0      18  CALIB0      65      -1      -1       5       8       0
      LD       4       1       0      19      18     127      -1      -1       9       8       1
      LD       4       1       0      20      19      51       1       0       4       8       1
      LD       4       1       0      21      20      66       1       0       5       9       1
      LD       4       1       0      22      21      52       1       0       4       9       1
      LD       4       1       0      23      22      67       1       0       5      10       2
      LD       4       1       0      24      23      70       1       1       5      12       1
      LD       4       1       0      25      24      69       1       1       5      11       1
      LD       4       1       0      26      25      54       1       1       4      11       1
      LD       4       1       0      27      26      53       1       1       4      10       1
      LD       4       1       0      28      27     158      -1      -1      11       9       1
      LD       4       1       0      29      28      28       1       2       2       8       1
      LD       4       1       0      30      29      40       1       2       3       9       2
      LD       4       1       0      31      30      29       1       2       2       9       1
      LD       4       1       0      32      31      42       1       2       3      10       1
      LD       4       1       0      33      32       8       1       3       0       7       1
      LD       4       1       0      34      33      19       1       3       1       8       1
      LD       4       1       0      35      34       7       1       3       0       6       1
      LD       4       1       0      36      35      18       1       3       1       7       1
      HD       2       0       0       0       0     298       0       0      14      19       1
      HD       2       0       0       1       1     273       0       0      13      18       1
      HD       2       0       0       2       2     344       0       0      16      20       1
      HD       2       0       0       3       3     363       0       0      17      20       1
      HD       2       0       0       4       4     321       0       0      15      20       1
      HD       2       0       0       5       5     319       0       0      15      18       1
      HD       2       0       0       6       6     343       0       0      16      19       1
      HD       2       0       0       7       7     297       0       0      14      18       1
      HD       2       0       0       8       8     320       0       0      15      19       1
      HD       2       0       0       9       9     342       0       2      16      18       1
      HD       2       0       0      10      10     361       0       2      17      18       1
      HD       2       0       0      11      11     380       0       2      18      18       2
      HD       2       0       0      12      12     382       0       2      18      19       1
      HD       2       0       0      13      13     362       0       2      17      19       1
      HD       2       0       0      14      14     400       0       2      19      19       1
      HD       2       0       0      15      15     401       0       2      19      20       1
      HD       2       0       0      16      16     419       0       2      20      20       1
      HD       2       0       0      17      17     383       0       2      18      20       1
      HD       2       0       0      18  CALIB0     385      -1      -1      18      21       0
      HD       2       0       0      19      18     468       0       1      23      23       1
      HD       2       0       0      20      19     437       0       1      21      21       1
      HD       2       0       0      21      20     402       0       1      19      21       1
      HD       2       0       0      22      21     454       0       1      22      22       1
      HD       2       0       0      23      22     439       0       1      21      23       1
      HD       2       0       0      24      23     438       0       1      21      22       1
      HD       2       0       0      25      24     455       0       1      22      23       1
      HD       2       0       0      26      25     421       0       1      20      22       1
      HD       2       0       0      27      26     420       0       1      20      21       1
      HD       2       0       0      28      27     386       0       3      18      22       1
      HD       2       0       0      29      28     384       0       3      18      21       1
      HD       2       0       0      30      29     345       0       3      16      21       1
      HD       2       0       0      31      30     422       0       3      20      23       1
      HD       2       0       0      32      31     387       0       3      18      23       1
      HD       2       0       0      33      32     403       0       3      19      22       1
      HD       2       0       0      34      33     365       0       3      17      22       1
      HD       2       0       0      35      34     404       0       3      19      23       1
      HD       2       0       0      36      35     364       0       3      17      21       1
      HD       2       0       1       0      36     248       2       0      12      17       1
      HD       2       0       1       1      37     200       2       0      10      17       1
      HD       2       0       1       2      38     249       2       0      12      18       1
      HD       2       0       1       3      39     199       2       0      10      16       1
      HD       2       0       1       4      40     198       2       0      10      15       1
      HD       2       0       1       5      41     201       2       0      10      18       1
      HD       2       0       1       6      42     222       2       0      11      16       1
      HD       2       0       1       7      43     224       2       0      11      18       1
      HD       2       0       1       8      44     223       2       0      11      17       1
      HD       2       0       1       9      45     254       2       2      12      22       1
      HD       2       0       1      10      46     227       2       2      11      21       1
      HD       2       0       1      11      47     252       2       2      12      21       1
      HD       2       0       1      12      48     204       2       2      10      21       1
      HD       2       0       1      13      49     255       2       2      12      23       1
      HD       2       0       1      14      50     228       2       2      11      22       1
      HD       2       0       1      15      51     278       2       2      13      23       1
      HD       2       0       1      16      52     302       2       2      14      23       1
      HD       2       0       1      17      53     277       2       2      13      22       1
      HD       2       0       1      18  CALIB1     253      -1      -1      12      21       0
      HD       2       0       1      19      54     251       2       1      12      20       1
      HD       2       0       1      20      55     275       2       1      13      20       1
      HD       2       0       1      21      56     274       2       1      13      19       1
      HD       2       0       1      22      57     299       2       1      14      20       1
      HD       2       0       1      23      58     225       2       1      11      19       1
      HD       2       0       1      24      59     250       2       1      12      19       1
      HD       2       0       1      25      60     202       2       1      10      19       1
      HD       2       0       1      26      61     226       2       1      11      20       1
      HD       2       0       1      27      62     203       2       1      10      20       1
      HD       2       0       1      28      63     366       2       3      17      23       1
      HD       2       0       1      29      64     276       2       3      13      21       1
      HD       2       0       1      30      65     300       2       3      14      21       1
      HD       2       0       1      31      66     301       2       3      14      22       1
      HD       2       0       1      32      67     346       2       3      16      22       1
      HD       2       0       1      33      68     324       2       3      15      23       1
      HD       2       0       1      34      69     322       2       3      15      21       1
      HD       2       0       1      35      70     323       2       3      15      22       1
      HD       2       0       1      36      71     347       2       3      16      23       1
      HD       2       1       0       0       0     315       0       0      15      14       1
      HD       2       1       0       1       1     313       0       0      15      12       1
      HD       2       1       0       2       2     336       0       0      16      13       1
      HD       2       1       0       3       3     314       0       0      15      13       1
      HD       2       1       0       4       4     337       0       0      16      14       1
      HD       2       1       0       5       5     358       0       0      17      15       1
      HD       2       1       0       6       6     359       0       0      17      16       1
      HD       2       1       0       7       7     357       0       0      17      14       1
      HD       2       1       0       8       8     338       0       0      16      15       1
      HD       2       1       0       9       9     340       0       2      16      17       2
      HD       2       1       0      10      10     270       0       2      13      15       1
      HD       2       1       0      11      11     293       0       2      14      15       1
      HD       2       1       0      12      12     339       0       2      16      16       1
      HD       2       1       0      13      13     318       0       2      15      17       1
      HD       2       1       0      14      14     316       0       2      15      15       1
      HD       2       1       0      15      15     317       0       2      15      16       1
      HD       2       1       0      16      16     360       0       2      17      17       1
      HD       2       1       0      17      17     294       0       2      14      16       2
      HD       2       1       0      18  CALIB0     221      -1      -1      11      15       0
      HD       2       1       0      19      18     272       0       1      13      17       1
      HD       2       1       0      20      19     196       0       1      10      14       2
      HD       2       1       0      21      20     296       0       1      14      17       1
      HD       2       1       0      22      21     220       0       1      11      15       1
      HD       2       1       0      23      22     247       0       1      12      16       1
      HD       2       1       0      24      23     195       0       1      10      13       1
      HD       2       1       0      25      24     271       0       1      13      16       1
      HD       2       1       0      26      25     219       0       1      11      14       1
      HD       2       1       0      27      26     245       0       1      12      15       2
      HD       2       1       0      28      27     244       0       3      12      14       1
      HD       2       1       0      29      28     194       0       3      10      12       1
      HD       2       1       0      30      29     268       0       3      13      13       1
      HD       2       1       0      31      30     217       0       3      11      12       1
      HD       2       1       0      32      31     292       0       3      14      14       1
      HD       2       1       0      33      32     218       0       3      11      13       1
      HD       2       1       0      34      33     242       0       3      12      12       1
      HD       2       1       0      35      34     243       0       3      12      13       1
      HD       2       1       0      36      35     269       0       3      13      14       1
      HD       2       1       1       0      36      -1      -1      -1      -1      -1      -1
      HD       2       1       1       1      37      -1      -1      -1      -1      -1      -1
      HD       2       1       1       2      38      -1      -1      -1      -1      -1      -1
      HD       2       1       1       3      39      -1      -1      -1      -1      -1      -1
      HD       2       1       1       4      40      -1      -1      -1      -1      -1      -1
      HD       2       1       1       5      41      -1      -1      -1      -1      -1      -1
      HD       2       1       1       6      42      -1      -1      -1      -1      -1      -1
      HD       2       1       1       7      43      -1      -1      -1      -1      -1      -1
      HD       2       1       1       8      44      -1      -1      -1      -1      -1      -1
      HD       2       1       1       9      45      -1      -1      -1      -1      -1      -1
      HD       2       1       1      10      46      -1      -1      -1      -1      -1      -1
      HD       2       1       1      11      47      -1      -1      -1      -1      -1      -1
      HD       2       1       1      12      48      -1      -1      -1      -1      -1      -1
      HD       2       1       1      13      49      -1      -1      -1      -1      -1      -1
      HD       2       1       1      14      50      -1      -1      -1      -1      -1      -1
      HD       2       1       1      15      51      -1      -1      -1      -1      -1      -1
      HD       2       1       1      16      52      -1      -1      -1      -1      -1      -1
      HD       2       1       1      17      53      -1      -1      -1      -1      -1      -1
      HD       2       1       1      18  CALIB1      -1      -1      -1      -1      -1      -1
      HD       2       1       1      19      54     241       2       1      12      11       1
      HD       2       1       1      20      55     289       2       1      14      11       1
      HD       2       1       1      21      56     239       2       1      12       9       1
      HD       2       1       1      22      57     265       2       1      13      10       1
      HD       2       1       1      23      58     266       2       1      13      11       1
      HD       2       1       1      24      59     240       2       1      12      10       1
      HD       2       1       1      25      60     267       2       1      13      12       1
      HD       2       1       1      26      61     291       2       1      14      13       1
      HD       2       1       1      27      62     290       2       1      14      12       1
      HD       2       1       1      28      63     193       2       3      10      11       1
      HD       2       1       1      29      64     191       2       3      10       9       1
      HD       2       1       1      30      65     214       2       3      11       9       1
      HD       2       1       1      31      66     215       2       3      11      10       1
      HD       2       1       1      32      67     216       2       3      11      11       1
      HD       2       1       1      33      68     192       2       3      10      10       1
      HD       2       1       1      34      69      -1      -1      -1      -1      -1      -1
      HD       2       1       1      35      70      -1      -1      -1      -1      -1      -1
      HD       2       1       1      36      71      -1      -1      -1      -1      -1      -1
      HD       2       2       0       0       0     371       0       0      18      10       1
      HD       2       2       0       1       1     409       0       0      20      12       2
      HD       2       2       0       2       2     393       0       0      19      12       1
      HD       2       2       0       3       3     411       0       0      20      13       1
      HD       2       2       0       4       4     372       0       0      18      11       2
      HD       2       2       0       5       5     408       0       0      20      11       1
      HD       2       2       0       6       6     370       0       0      18       9       1
      HD       2       2       0       7       7     391       0       0      19      10       1
